system,category,support_gt_boxes,low_support,gt_coverage_iog03
ablation_image_only_reasoning,Fall_Hazard,63,0,0.3810
ablation_image_only_reasoning,StruckBy_Hazard,3,1,0.3333
ablation_image_only_reasoning,Electrocution_Hazard,24,0,0.4583
ablation_image_only_reasoning,CaughtInBetween_hazard,10,0,0.4000
ablation_image_only_reasoning,PPE_Violation,45,0,0.3556
ablation_image_only_reasoning,Housekeeping_Storage,77,0,0.4545
ablation_image_only_reasoning,Other,25,0,0.2000
ablation_no_fallback_grounding_drop,Fall_Hazard,63,0,0.7778
ablation_no_fallback_grounding_drop,StruckBy_Hazard,3,1,0.6667
ablation_no_fallback_grounding_drop,Electrocution_Hazard,24,0,0.8333
ablation_no_fallback_grounding_drop,CaughtInBetween_hazard,10,0,0.6000
ablation_no_fallback_grounding_drop,PPE_Violation,45,0,0.8889
ablation_no_fallback_grounding_drop,Housekeeping_Storage,77,0,0.6364
ablation_no_fallback_grounding_drop,Other,25,0,0.6000
ablation_no_fallback_grounding_boxes_removed,Fall_Hazard,63,0,0.7778
ablation_no_fallback_grounding_boxes_removed,StruckBy_Hazard,3,1,0.6667
ablation_no_fallback_grounding_boxes_removed,Electrocution_Hazard,24,0,0.8333
ablation_no_fallback_grounding_boxes_removed,CaughtInBetween_hazard,10,0,0.6000
ablation_no_fallback_grounding_boxes_removed,PPE_Violation,45,0,0.8889
ablation_no_fallback_grounding_boxes_removed,Housekeeping_Storage,77,0,0.6364
ablation_no_fallback_grounding_boxes_removed,Other,25,0,0.6000
ablation_no_path2_verification,Fall_Hazard,63,0,0.7937
ablation_no_path2_verification,StruckBy_Hazard,3,1,0.6667
ablation_no_path2_verification,Electrocution_Hazard,24,0,0.8333
ablation_no_path2_verification,CaughtInBetween_hazard,10,0,0.6000
ablation_no_path2_verification,PPE_Violation,45,0,0.9111
ablation_no_path2_verification,Housekeeping_Storage,77,0,0.6623
ablation_no_path2_verification,Other,25,0,0.6400
ablation_no_path2_stage_correction,Fall_Hazard,63,0,0.7937
ablation_no_path2_stage_correction,StruckBy_Hazard,3,1,0.6667
ablation_no_path2_stage_correction,Electrocution_Hazard,24,0,0.8333
ablation_no_path2_stage_correction,CaughtInBetween_hazard,10,0,0.6000
ablation_no_path2_stage_correction,PPE_Violation,45,0,0.9111
ablation_no_path2_stage_correction,Housekeeping_Storage,77,0,0.6623
ablation_no_path2_stage_correction,Other,25,0,0.6400
ablation_grounded_final_only,Fall_Hazard,63,0,0.7937
ablation_grounded_final_only,StruckBy_Hazard,3,1,0.6667
ablation_grounded_final_only,Electrocution_Hazard,24,0,0.8333
ablation_grounded_final_only,CaughtInBetween_hazard,10,0,0.6000
ablation_grounded_final_only,PPE_Violation,45,0,0.9111
ablation_grounded_final_only,Housekeeping_Storage,77,0,0.6623
ablation_grounded_final_only,Other,25,0,0.6400
